City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,17.51,89,4,3.04,AU,2024-02-01
1,ilulissat,69.2167,-51.1,-19.99,71,75,4.63,GL,2024-02-01
2,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,86,75,4.0,RU,2024-02-01
3,nizhniy novgorod,56.3287,44.002,-1.27,100,100,3.0,RU,2024-02-01
4,souillac,-20.5167,57.5167,26.3,89,75,5.14,MU,2024-02-01
5,georgetown,5.4112,100.3354,27.75,88,20,2.06,MY,2024-02-01
6,yellowknife,62.456,-114.3525,-11.44,96,100,6.71,CA,2024-02-01
7,revda,56.801,59.9303,-16.38,99,99,1.72,RU,2024-02-01
8,igarka,67.4667,86.5833,-15.46,94,100,9.36,RU,2024-02-01
9,adamstown,-25.066,-130.1015,24.89,86,42,9.59,PN,2024-02-01
10,bandarbeyla,9.4942,50.8122,25.05,75,72,3.34,SO,2024-02-01
11,isafjordur,66.0755,-23.124,0.23,88,72,3.81,IS,2024-02-01
12,villiers,-27.0303,28.6006,18.13,38,86,5.35,ZA,2024-02-01
13,tolanaro,-25.0319,46.9987,25.04,83,75,6.17,MG,2024-02-01
14,olonkinbyen,70.9221,-8.7187,-7.04,62,34,5.47,SJ,2024-02-01
15,atafu village,-8.5421,-172.5159,26.75,89,100,8.23,TK,2024-02-01
16,krasnovishersk,60.4078,57.082,-4.77,94,100,2.97,RU,2024-02-01
17,bredasdorp,-34.5322,20.0403,21.6,92,93,4.3,ZA,2024-02-01
18,ushuaia,-54.8,-68.3,17.81,34,40,11.32,AR,2024-02-01
19,san luis de la loma,17.2706,-100.8939,28.74,65,72,2.47,MX,2024-02-01
20,mount gambier,-37.8333,140.7667,12.54,93,2,2.09,AU,2024-02-01
21,badger,64.8,-147.5333,-36.86,68,20,0.0,US,2024-02-01
22,chachapoyas,-6.2317,-77.869,16.8,87,100,1.51,PE,2024-02-01
23,hilo,19.7297,-155.09,26.85,64,0,1.79,US,2024-02-01
24,antibes,43.5624,7.1278,10.63,82,0,2.57,FR,2024-02-01
25,meulaboh,4.1363,96.1285,25.15,90,73,2.05,ID,2024-02-01
